id,Year,Flesch_Kincaid,Gunning_Fog_Index,Coleman_Liau,SMOG,Automated_Readability_Index,Average_Grade_Level
gary-malkowski-gallaudet-university-2011,2011,16.6073261433286,20.8545261669024,14.0312305516266,17.8947043024546,17.9994636963696,17.4774501721364
lewis-lapham-st-johns-college-2003,2003,16.5445399835669,20.0639292931536,9.96045701849836,15.5730533509251,18.5918539450601,16.1467667182408
stephen-r-kellert-university-of-western-sydney-australia-2013,2013,14.0845510806945,17.8897678211006,13.4829989440338,15.8708085027723,15.002589924211,15.2661432545625
martha-nussbaum-connecticut-college-2009,2009,14.4322205746061,18.1902290480604,11.7627956043956,15.8414780727707,15.2182126837018,15.0889871967069
sandra-soto-university-of-arizona-2010,2010,14.5363357134761,18.1719445388946,11.0594219653179,15.3134913652335,16.1262858438173,15.0414958853479
franklin-d-roosevelt-oglethorpe-university-1932,1932,13.9720038567158,17.3794247636145,10.6017733285663,14.6755005996895,15.392858001354,14.404312109988
james-b-angell-university-of-michigan-1879,1879,13.7780802150829,17.3360557785562,10.3495816107161,14.4313053023722,15.5629058402781,14.2915857494011
dwight-eisenhower-penn-state-1955,1955,12.7231573266557,16.8189505799729,12.3770926517572,15.1196160833863,13.470756915062,14.1019147113668
vaclav-havel-harvard-university-1995,1995,13.2660149694702,16.5439630712666,10.8683159346071,14.5545925495578,13.8604876188745,13.8186748287552
patricia-mcgowan-wald-connecticut-college-1981,1981,12.619873482295,16.2775206055329,10.7331736526946,14.1353909052744,14.1502824146533,13.58324821209
edward-w-brooke-wellesley-college-1969,1969,12.3728961780471,16.052412025169,11.9448482871126,14.5443866586871,12.8236292239571,13.5476344745946
clayborne-carson-niagara-university-2008,2008,13.0330940965487,16.3476485012627,10.1547719869707,14.0625879967594,14.017260137979,13.5230725439041
john-f-kennedy-yale-university-1962,1962,12.3574162522119,16.1241952379878,11.0940944473274,14.4476433077183,13.0721511569814,13.4191000804454
david-foster-wallace-kenyon-college-2005,2005,13.1716588813684,16.4099797082896,8.84764861294584,13.1253542417637,14.6810578586117,13.2471398605959
william-h-gass-washington-university-1979,1979,13.1481396529458,16.303422150311,8.91102023245803,12.6765731627328,15.1247081657191,13.2327726728334
jeffrey-sachs-connecticut-college-2010,2010,12.4042261061628,15.9320129002313,9.95593594699061,13.9157836987737,13.2275892892869,13.0871095882891
ahmed-zewail-caltech-2011,2011,12.1608021645711,15.5904822537005,10.8780819672131,14.0003814466033,12.7852298663059,13.0829955396788
warren-burger-pace-university-1983,1983,12.042068996222,15.1761413506672,11.1713990306947,13.5179558553987,13.3326031826797,13.0480336831325
alexander-solzhenitsyn-harvard-university-1978,1978,11.6795264494919,15.2436640765093,11.2169774058577,13.9467462781882,11.9918989240885,12.8157626268271
mary-robinson-harvard-university-1998,1998,11.8089819392005,15.4068662177416,10.204315129812,13.7667663273156,12.5177188509595,12.7409296930058
robert-pinsky-stanford-university-1999,1999,11.7888583797794,15.4393332962294,10.0235738990085,13.6753401945613,12.6691043652718,12.7192420269701
madeleine-albright-harvard-university-1997,1997,11.5433501714094,14.6410153482399,10.8593367812595,13.3826067172163,12.0296598150534,12.4911937666357
alice-greenwald-sarah-lawrence-college-2007,2007,11.4656369243437,15.014952972167,10.0724015173621,13.5089726930193,12.0407454900848,12.4205419193954
meg-greenfield-williams-college-1987,1987,11.1624000667732,14.7480008585124,9.58435885817852,13.2978221522926,11.5397813178165,12.0664726507146
kofi-annan-penn-state-2005,2005,11.0608823529412,14.4640522875817,9.98624836601307,13.1443921530909,11.5290980392157,12.0369346397685
john-f-kennedy-american-university-1963,1963,11.0296899090415,14.587214960184,9.81317044793484,13.218536601077,11.512151335483,12.0321526507441
john-seely-brown-arizona-state-university-2015,2015,10.7015960795634,14.0689732909948,10.776804541768,12.9958758888442,11.442266897604,11.9971033397549
george-w-bush-calvin-college-2005,2005,10.6107646924452,14.1852465085504,10.6373615432483,13.1483341668981,11.0833440722157,11.9330101966716
ronald-reagan-eureka-college-1957,1957,11.0496891846148,14.4339599826876,9.21961350167483,12.5603063666008,12.2289508801889,11.8985039831534
margaret-atwood-university-of-toronto-1983,1983,11.3242346599188,14.629867661256,8.54813832306964,12.3987440470761,12.3214226864705,11.8444814755582
abigail-washburn-colorado-college-2012,2012,11.5527348610817,14.5261650089186,8.42641835716661,12.0792533252484,12.5113876711915,11.8191918447214
michael-oren-brandeis-university-2010,2010,10.3704349178696,13.4412087912088,11.2891587854654,12.6356844388144,11.1550301527741,11.7783034172264
toni-morrison-wellesley-college-2004,2004,10.6549137105799,14.3523062195796,9.37839690436705,13.1039876758759,10.8436553007321,11.6666519622269
njabulo-s-ndebele-wesleyan-university-2004,2004,10.3422378048781,13.9831349042304,10.1797271599835,12.9963430546734,10.6356569519085,11.6274199751348
dana-gioia-stanford-university-2007,2007,10.3685455523673,13.6132590034774,11.0194460520876,12.8402744723464,10.2793310920896,11.6241712344737
cynthia-enloe-connecticut-college-2011,2011,10.2583918774492,13.6046170288564,9.82645885286783,12.2388386351091,11.5891939793374,11.503500074724
jean-andrews-university-of-texas-austin-2003,2003,10.398292358804,13.5814839424142,9.94091694352159,12.6655656136328,10.4039047619048,11.3980327240555
john-mackey-bentley-college-2008,2008,10.3065318854166,13.495653760961,9.63142150803461,12.3596292372648,10.8918725164052,11.3370217816164
sal-khan-massachusetts-institute-of-technology-2012,2012,10.4222372701435,14.359928774441,8.00043557168783,12.2970730224092,11.5421795705921,11.3243708418547
